title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
Picture Day,"['Gary the Snail', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Incidental 48', 'Incidental 64', 'Incidental 14', 'Fred', 'Incidental 40', 'Incidental 9', 'Incidental 106', 'Incidental 158', 'Incidental 158', 'Incidental K1', 'Incidental 37A', 'Incidental K6', 'Incidental K3', 'Green kid fish', 'Incidental 85', 'Incidental 81', 'Incidental 15', 'Trucker', 'Patrick Star', 'Mrs. Puff', 'Incidental 104', 'Photographer', ""Mrs. Puff's class""]",https://spongebob.fandom.com/wiki/Picture_Day,151-529-7 (529a),5,93a,"August 2, 2007",5:00 pm,2007,3.33,"6 minutes, 59 seconds","['""Pat No Pay""', '""BlackJack""']","['Casey Alexander', 'Dani Michaeli', 'Steven Banks (additional story writing)']",,Casey Alexander,Alan Smart,Vincent Waller,"""Pat No Pay""","""Atlantis SquarePantis""",,,,,Paul Tibbitt,,
Pat No Pay,"['Eugene H. Krabs', 'Patrick Star', 'SpongeBob SquarePants', 'French Narrator']",https://spongebob.fandom.com/wiki/Pat_No_Pay,151-529-4 (529b),5,93b,"August 2, 2007",5:07 pm,2007,3.33,"4 minutes, 2 seconds","['""Picture Day""', '""BlackJack""']","['Zeus Cervas', 'Dani Michaeli']",,Zeus Cervas,Alan Smart,Vincent Waller,"""BlackJack""","""Picture Day""",,,,,Paul Tibbitt,,
BlackJack,"['Gary the Snail', 'SpongeBob SquarePants', 'BlackJack', 'Harold SquarePants', 'Margaret SquarePants', 'Perch Perkins', 'Grandma SquarePants', 'Captain Blue SquarePants', 'French Narrator', 'Clam', ""BlackJack's guard worm"", 'Jellyfish']",https://spongebob.fandom.com/wiki/BlackJack,151-525,5,93c,"August 2, 2007",5:15 pm,2007,3.33,"11 minutes, 37 seconds","['""Picture Day""', '""Pat No Pay""']","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Alan Smart,Vincent Waller,"""Blackened Sponge""","""Pat No Pay""","['John DiMaggio as BlackJack', 'Marion Ross as Grandma SquarePants', 'Garnett Sailor as Captain Blue SquarePants']",,,,Paul Tibbitt,,
Blackened Sponge,"['SpongeBob SquarePants', 'Seahorse', 'Jack M. Crazyfish', 'Gary the Snail', 'Patrick Star', 'Sandy Cheeks', 'King Neptune', 'Eugene H. Krabs', 'Incidental 14', 'Incidental 107', 'Incidental 42', 'Incidental 105', 'Sandals', 'Squidward Tentacles', 'Incidental 41', 'Incidental 46', 'Gramma', 'Incidental 104', 'Incidental 47', 'Incidental 106', 'Dale']",https://spongebob.fandom.com/wiki/Blackened_Sponge,151-530,5,94a,"August 3, 2007",5:00 pm,2007,3.28,"10 minutes, 52 seconds","""Mermaid Man vs. SpongeBob""","['Greg Miller', 'Aaron Springer', 'Eric Shaw']",,"['Greg Miller', 'Aaron Springer']",Tom Yasumi,Vincent Waller,"""Mermaid Man vs. SpongeBob""","""BlackJack""",Greg Baldwin as Jack M. Crazyfish,,,,Paul Tibbitt,,
Mermaid Man vs. SpongeBob,"['Realistic Fish Head', 'Barnacle Boy', 'Mermaid Man', 'Man Ray', 'Sheldon J. Plankton', 'Blue kid fish', 'Little girl', 'Green kid fish', 'Squidward Tentacles', 'Eugene H. Krabs', 'SpongeBob SquarePants', 'Karen Plankton', 'Incidentals', 'Incidental 37A', 'Incidental 141', 'Incidental 153', 'Incidental 144', 'Incidental 151', 'Incidental 103', 'Incidental 102', 'Incidental 142', 'Incidental 152', 'Incidental 48', 'Incidental 158', 'Incidental 143', 'Incidental 84', 'Incidental 82', 'Incidental 92', 'Incidental 81', 'Incidental 119', 'Incidental 87', 'Incidental 80', 'Incidental G3', 'Incidental 49', 'Incidental 42', 'Incidental G7', 'Incidental 14', 'Incidental 41', 'Incidental 7', 'Incidental G5', 'Incidental G2', 'Fred', 'Incidental G19', 'Incidental 114', 'Incidental 3', 'John', 'Incidental 6', 'Incidental 12', 'Incidental 30', 'Incidental 60', 'Incidental 67', 'Incidental 37B', 'Incidental 108', 'Incidental 104', 'Sandals', 'Incidental G4', 'Incidental G9', 'Incidental G6', 'Incidental 63', 'Incidental 40', 'Incidental 2', 'Incidental 69', 'Incidental 47', 'Incidental 68', 'Incidental 91', 'Incidental 22', 'Incidental 36', 'Charlie', 'Incidental 106', 'Incidental 13', 'Incidental 8', 'Incidental 105', 'Incidental 107', 'Incidental 15', 'Incidental 45', 'Incidental G13', 'Incidental 65', 'Incidental 73', 'Incidental 27', 'Incidental 30', 'Incidental 4', 'Incidental 63', 'Incidental 9', 'Incidental 90', 'Incidental 20', 'Incidental 31', 'Incidental 10', 'Incidental 16', 'Scooter', 'Incidental 155', 'Incidental 64', 'Orderly', 'Nerd 1', 'Perch Perkins', 'Ted']",https://spongebob.fandom.com/wiki/Mermaid_Man_vs._SpongeBob,151-528,5,94b,"August 3, 2007",5:15 pm,2007,3.28,11 minutes,"""Blackened Sponge""","['Nate Cash', 'Tuck Tucker', 'Eric Shaw']",,"['Nate Cash', 'Tuck Tucker']",Tom Yasumi,Vincent Waller,"""The Inmates of Summer""","""Blackened Sponge""","['Ernest Borgnine as Mermaid Man', 'Tim Conway as Barnacle Boy', 'Bob Joles as Man Ray']",,,,Paul Tibbitt,,
The Inmates of Summer,"['Scallops and clams', 'Incidentals', 'Incidental 158', 'Incidental 67KID', 'Incidental 103', 'Incidental 152', 'Incidental 73KID', 'Dale', 'Incidental 100', 'Incidental 101', 'Incidental 109', 'SpongeBob SquarePants', 'Patrick Star', 'Camp Counselor Kraus', 'Octopus boy', 'Frank', 'Frank', 'Fred', 'Incidental 64', 'Charlie', 'Tom', 'Incidental 106', 'Incidental 37B', 'Incidental 25', 'Incidental 92', 'Incidental 30', 'Barney', 'Bernie', 'Warden', 'French Narrator', 'King Neptune']",https://spongebob.fandom.com/wiki/The_Inmates_of_Summer,151-534,5,95a,"November 21, 2007",8:00 pm,2007,4.08,11 minutes,"""To Save a Squirrel""","['Chris Reccardi', 'Aaron Springer', 'Dani Michaeli']",,"['Chris Reccardi', 'Aaron Springer']",Alan Smart,Vincent Waller,"""To Save a Squirrel""","""Mermaid Man vs. SpongeBob""","['R. Lee Ermey as Warden', 'Mark Fite as Bernie, Prisoner #2, and Prisoner #4']",,,,Paul Tibbitt,,
To Save a Squirrel,"['Patrick Star', 'SpongeBob SquarePants', 'Sandy Cheeks', 'Squidward Tentacles']",https://spongebob.fandom.com/wiki/To_Save_a_Squirrel,151-531,5,95b,"November 23, 2007",9:45 pm,2007,4.26,11 minutes,"""The Inmates of Summer""","['Luke Brookshier', 'Nate Cash', 'Dani Michaeli']",,"['Luke Brookshier', 'Nate Cash']",Alan Smart,Vincent Waller,"""Pest of the West""","""The Inmates of Summer""",,,,,Paul Tibbitt,,
Pest of the West,"['Patchy the Pirate', 'Potty the Parrot', 'Squidward Tentacles', 'SpongeBob SquarePants', 'Patrick Star', 'Mollusks', 'Patrick Revere', 'Patrick Revere', 'Seahorses', 'Sluggo Star', 'Eugene H. Krabs', 'Great Great Grandpa Krabs', 'Jellyfish', 'Sandy Cheeks', 'Rosie Cheeks', 'Sherm SquarePants', 'Incidentals', 'Incidental 42', 'Incidental 103', 'Incidental 107', 'Old Man Walker', 'Incidental 82', 'Incidental 106', 'Incidental 41', 'Incidental 48', 'Incidental 49', 'Incidental 153', 'Incidental 6', 'Incidental 27', 'Incidental 1C', 'Incidental 64', 'Charlie', 'Sandals', 'Incidental 81', 'Incidental 31', 'Incidental 67', 'Incidental 46', 'Incidental 150', 'Incidental 8', 'Incidental 7', 'Incidental 63', 'Incidental 104', 'Incidental 45', 'SquareHead family', 'SquareShirt family', 'SpongeBuck SquarePants', 'Undertaker', 'Undertaker', 'Hopalong Squidward Tentacles', 'Polene Puff', 'Pappy Krabs', 'Tapey', 'Pecos Patrick', 'Dead Eye Plankton', 'Cowbones']",https://spongebob.fandom.com/wiki/Pest_of_the_West,"['151-526', '151-527']",5,96,"March 24, 2008",8:00 pm,2007,6.14,"21 minutes, 50 seconds",,"['Luke Brookshier', 'Tom King', 'Steven Banks', 'Richard Pursel']",,"['Luke Brookshier', 'Tom King']","['Andrew Overtoom', 'Tom Yasumi']",Vincent Waller,"""20,000 Patties Under the Sea""","""To Save a Squirrel""",Vincent Waller as Foreman and Farmer fish,,,,Paul Tibbitt,,
"20,000 Patties Under the Sea","['Jellyfish', 'SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Incidentals', 'Incidental 42', 'Incidental 49', 'Incidental 118C', 'Incidental 40', 'Incidental 119', 'Judge 2', 'Karen Plankton', 'Incidental 152', 'Incidental 152', 'Incidental 115', 'Trucker', 'Mary', 'Jack M. Crazyfish', 'Sea monster']","https://spongebob.fandom.com/wiki/20,000_Patties_Under_the_Sea",151-537,5,97a,"November 23, 2007",9:15 pm,2007,4.29,11 minutes,"""The Battle of Bikini Bottom""","['Chris Reccardi', 'Aaron Springer', 'Richard Pursel']",,"['Chris Reccardi', 'Aaron Springer']",Tom Yasumi,Vincent Waller,"""The Battle of Bikini Bottom""","""Pest of the West""","['Gene Simmons as Sea monster', 'Shannon Tweed as Mom Fish']",,,,Paul Tibbitt,,
The Battle of Bikini Bottom,"['Patrick Star', 'SpongeBob SquarePants', 'Incidentals', 'Fred', 'Incidental 42', 'Carol', 'Incidental 7', 'Incidental 46', 'Incidental 45', 'Incidental 68', 'Incidental 105', 'Incidental 107', 'Incidental 27', 'Incidental 85', 'Incidental 60', 'Dodo', 'Incidental 30', 'Incidental 30A', 'Incidental 31', 'Incidental 37B', 'Incidental 64', 'Incidental 40', 'Incidental 37A', 'Incidental 41', 'Incidental 81', 'Incidental 65', 'Incidental 13', 'Incidental 67', 'Charlie', 'Incidental 92', 'Incidental 13', 'Incidental 36', 'Incidental 65', 'Incidental 6', 'Incidental 83', 'Incidental 69', 'Incidental 9', 'Incidental 106', 'Incidental 108', 'Incidental 49', 'Incidental 101', 'Old Man Walker', 'Eugene H. Krabs', 'Squidward Tentacles']",https://spongebob.fandom.com/wiki/The_Battle_of_Bikini_Bottom,151-538,5,97b,"November 21, 2007",8:30 pm,2007,4.26,11 minutes,"""20,000 Patties Under the Sea""","['Luke Brookshier', 'Nate Cash', 'Eric Shaw']",,"['Luke Brookshier', 'Nate Cash']",Andrew Overtoom,Vincent Waller,"""What Ever Happened to SpongeBob?""","""20,000 Patties Under the Sea""",,,,,Paul Tibbitt,,
What Ever Happened to SpongeBob?,"['Patchy the Pirate', 'Gary the Snail', 'SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Patrick Star', 'Margie Star', 'Sandy Cheeks', ""Sandy's robot"", 'Mr. and Mrs. Dollar', 'Perch Perkins', 'Bob Preflumster', 'Incidentals', 'Incidental 154', 'Incidental 40', 'Incidental 22', 'Incidental 37B', 'Incidental 108', 'Incidental 103', 'Incidental 42', 'Pirate 12', 'Incidental 34', 'Incidental 27', 'Incidental 106', 'Incidental 46', 'Sandals', 'Incidental 107', 'Incidental 48', 'Fred', 'Old Man Walker', 'Anchovies', 'Incidental 30', 'Incidental 30A', 'Incidental 60', 'Incidental 41', 'Incidental 49', 'Incidental 7', 'Incidental 95', 'Incidental G15', 'Incidental G19', 'Incidental G12', 'Incidental 144', 'Incidental G2', 'Incidental G5', 'Incidental 142', 'Incidental G7', 'Incidental 2', 'Incidental G13', 'Incidental G10', 'Incidental 45', 'Incidental G6', 'Incidental 24', 'Incidental 9', 'Musician 3', 'Incidental CM13', 'Incidental CM23', 'Incidental 63', 'Judge 1', 'Judge 2', 'Judge 3', 'Construction foreman', 'Chubby customer', 'Blue kid fish', ""Incidental K1's mother"", 'King Neptune', 'Triton', ""The Bubble Poppin' Boys"", 'Greaser fish', 'Near Mint Comic Books cashier', 'Mayor', 'Keyboardist', 'Drummer', 'Balding guy', 'Mrs. Poecilia', 'Male cowfish', 'Nurse', 'Bodyguard', 'Tutu whale', 'Big fish', 'Green kid fish']",https://spongebob.fandom.com/wiki/What_Ever_Happened_to_SpongeBob%3F,"['151-535', '151-536']",5,98,"October 13, 2008",8:00 pm,2007,7.67,"21 minutes, 51 seconds",,"['Casey Alexander', 'Zeus Cervas', 'Steven Banks']",,"['Casey Alexander', 'Zeus Cervas']","['Alan Smart', 'Tom Yasumi']",Vincent Waller,"""The Two Faces of Squidward""","""The Battle of Bikini Bottom""","[""Ray Liotta as Bubble Poppin' Leader"", 'Mark Fite as Boss, Fish #7, Citizen', 'Paul Tibbitt as Fish #11']",,,,Paul Tibbitt,,
The Two Faces of Squidward,"['Squidward Tentacles', 'Patrick Star', 'SpongeBob SquarePants', 'Therapist', 'Incidentals', 'Incidental 107', 'Incidental 40', 'Lenny', 'Incidental 37B', 'Incidental 45', 'Incidental 116', 'Incidental 49', 'Mabel', 'Fred', 'Troutenheimer', 'Carol', 'Incidental 15', 'Incidental 48', 'Incidental 64', 'Incidental 46', 'Incidental 39', 'Incidental 14', 'Incidental 63', 'Incidental 7', 'Incidental 150', 'Incidental 8', 'Mary', 'Incidental G3', 'Billy', 'Incidental 42', 'Incidental 104', 'Incidental 93', 'Incidental 60', 'Incidental 41', 'Incidental 12', 'Tom', 'Incidental 92', 'Frank', 'Incidental 85', 'Incidental 27', 'Incidental 3', 'John', 'Incidental 21', 'Incidental 37A', 'Incidental 47', 'Dale', 'Steven', 'Incidental 105', 'Incidental 9', 'Incidental 106', 'Incidental 68', 'Incidental 69', 'Charlie', 'Incidental 67', 'Incidental 13', 'Sandals', 'Incidental 31', 'Harris', 'Harold', 'Scooter', 'Incidental 103', 'Incidental 153', 'Incidental 18', 'Incidental 16', 'Incidental 94', 'Incidental 10', 'Incidental 24', 'Incidental 118', 'Incidental 20', 'Incidental 152', 'Incidental 151', 'Incidental 102', 'Incidental 154', 'Incidental 37B', 'Incidental 2', 'King Neptune', 'Purple teen fish', 'Scallops and clams', 'Granny Tentacles', 'Eugene H. Krabs', 'Gary the Snail', 'Big fish four-eyes']",https://spongebob.fandom.com/wiki/The_Two_Faces_of_Squidward,151-540,5,99a,"November 21, 2007",8:15 pm,2007,4.08,"10 minutes, 45 seconds","""SpongeHenge""","['Charlie Bean', 'Aaron Springer', 'Steven Banks']",,"['Charlie Bean', 'Aaron Springer']",Tom Yasumi,Vincent Waller,"""SpongeHenge""","""What Ever Happened to SpongeBob?""","Mark Fite as Guy Fish, Fish #2",,,,Paul Tibbitt,,
SpongeHenge,"['King Neptune', 'King Poseidon', 'SpongeBob SquarePants', 'Jellyfish', 'Sparky', 'Moon', 'Paul Tibbitt', 'Mr. Sun', 'Dee Bradley Baker', 'Eugene H. Krabs', 'Squidward Tentacles', 'Incidentals', 'Incidental 41', 'Incidental 45', 'Incidental 16', 'Incidental 31', 'Incidental 37A', 'Incidental 47', 'Incidental 14', 'Incidental 64', 'Incidental 48', 'Incidental 60', 'Patrick Star', 'Bob Preflumster', 'Barbara', 'French Narrator', 'Stone SpongeBob', 'SpongeHenge sponges', 'Aliens']",https://spongebob.fandom.com/wiki/SpongeHenge,151-532,5,99b,"November 23, 2007",9:00 pm,2007,4.29,11 minutes,"""The Two Faces of Squidward""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Banned in Bikini Bottom""","""The Two Faces of Squidward""",Paul Tibbitt as the moon,,,,Paul Tibbitt,,
Banned in Bikini Bottom,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Miss Gristlepuss', ""Miss Gristlepuss' sisters"", 'Eugene H. Krabs', 'Al Gristlepuss', 'Patrick Star', 'Sheldon J. Plankton', 'Karen Plankton', 'Incidentals', 'Carol', 'Harold', 'Incidental 41', 'Incidental 14', 'Incidental 64', 'Incidental 48', 'Incidental 30', 'Incidental 42', 'Incidental 27', 'Incidental 68', 'Incidental 46', 'Incidental 91', 'Incidental 12', 'Incidental 107', 'Incidental 106', 'Incidental 37B', 'Incidental 7', 'Incidental 67', 'Incidental 37A', 'Incidental 23', 'Dale', 'Judy', 'Scooter', 'Steven', 'Incidental 63', 'Incidental 49', 'Incidental 105', 'Incidental G19', 'Incidental 1C', 'Gary the Snail', 'Shelley', 'SWAT team']",https://spongebob.fandom.com/wiki/Banned_in_Bikini_Bottom,151-539,5,100a,"November 21, 2007",8:45 pm,2007,4.26,"10 minutes, 56 seconds","""Stanley S. SquarePants""","['Aaron Springer', 'Steven Banks']",,Aaron Springer,Alan Smart,Vincent Waller,"""Stanley S. SquarePants""","""SpongeHenge""","['Andrea Martin as Miss Gristlepuss', 'Mark Fite as Fish #2']",,,,Paul Tibbitt,,
Stanley S. SquarePants,"['SpongeBob SquarePants', 'Stanley S. SquarePants', 'Sherm SquarePants', 'Eugene H. Krabs', 'Squidward Tentacles', 'King Neptune', 'Mover', 'Sandy Cheeks', 'Patrick Star', 'Incidentals', 'Incidental 41', 'Incidental 40', 'Incidental 30', 'Incidental 31', 'Incidental 14', 'Incidental 36', 'Incidental 67', 'Incidental 68', 'Incidental 63', 'Incidental 37B', 'Incidental 13', 'Incidental 73', 'Incidental 17', 'Incidental 45', 'Incidental 64', 'Incidental 12', 'Incidental 48', 'Incidental 108', 'Incidental 107', 'Incidental 106', 'Incidental 42', 'Fred', 'Incidental 37A', 'Incidental 21', 'Incidental 3', 'Incidental 27', 'Incidental 5', 'Incidental 7', 'Incidental 46', 'Incidental 47', 'Incidental 8', 'Incidental 2', ""Sandy's cousin"", ""Squidward's teenage cousin"", ""Mr. Krabs' three nephews"", 'Spat', 'Sheldon J. Plankton']",https://spongebob.fandom.com/wiki/Stanley_S._SquarePants,151-533,5,100b,"November 23, 2007",9:30 pm,2007,4.26,11 minutes,"""Banned in Bikini Bottom""","['Luke Brookshier', 'Nate Cash', 'Eric Shaw']",,"['Luke Brookshier', 'Nate Cash']",Andrew Overtoom,Vincent Waller,"""House Fancy""","""Banned in Bikini Bottom""",Christopher Guest as Stanley S. SquarePants,,,,Paul Tibbitt,,
House Fancy,"['Squidward Tentacles', 'Nicholas Withers', 'Squilliam Fancyson', 'SpongeBob SquarePants', 'Cops', 'Patrick Star', ""Squidward's toilet""]",https://spongebob.fandom.com/wiki/House_Fancy,193-603,6,101a,"June 6, 2008",5:00 pm,2008,3.50,11 minutes,"""Krabby Road""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Tom Yasumi,Vincent Waller,"""Krabby Road""","""Stanley S. SquarePants""",Alton Brown as Nicholas Withers,,,,Paul Tibbitt,,
Krabby Road,"['Incidentals', 'Incidental 154', 'Incidental 119', 'Incidental 118', 'Greaser fish', 'Finback fish', 'Popeye fish', 'Tattoo thug', 'Sheldon J. Plankton', 'Karen Plankton', 'Jellyfish', 'Octopus', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Patrick Star', 'Squidward Tentacles', 'Gary the Snail', 'French Narrator']",https://spongebob.fandom.com/wiki/Krabby_Road,193-602,6,101b,"March 3, 2008",5:00 pm,2008,4.70,"11 minutes, 7 seconds","""House Fancy""","['Luke Brookshier', 'Nate Cash', 'Eric Shaw']",,"['Luke Brookshier', 'Nate Cash']",Alan Smart,Vincent Waller,"""Penny Foolish""","""House Fancy""",,,,,Paul Tibbitt,,
Penny Foolish,"['Eugene H. Krabs', 'SpongeBob SquarePants', ""SpongeBob's brain"", 'Incidentals', 'Incidental 104', 'Incidental 114', 'Incidental 115', 'Incidental 42', 'Incidental 92', 'Incidental 14', 'Incidental 40', 'Incidental 47', 'Incidental K1', 'Incidental 1D', 'Incidental 49', 'Incidental 27', 'Incidental 45', 'Incidental 37B', 'Incidental 64', 'Squidward Tentacles', 'Bikini Bottom Construction Company', 'Construction foreman', 'Short construction worker', 'Patrick Star', ""Incidental K1's mother"", 'Gary the Snail']",https://spongebob.fandom.com/wiki/Penny_Foolish,193-606,6,102a,"March 7, 2008",5:00 pm,2008,4.68,11 minutes,"""Nautical Novice""","['Aaron Springer', 'Dani Michaeli']",,Aaron Springer,Alan Smart,Vincent Waller,"""Nautical Novice""","""Krabby Road""",,,,,Paul Tibbitt,,
Nautical Novice,"['Incidentals', 'Incidental 2', 'Incidental 104', 'Incidental 14', 'Incidental 67', 'Incidental 27', 'Incidental 37B', 'Harris', 'Incidental 150', 'Incidental 118', 'Incidental 107', 'Mrs. Puff', 'SpongeBob SquarePants', 'King Neptune', 'Gary the Snail', 'French Narrator', 'Clam', 'Jellyfish']",https://spongebob.fandom.com/wiki/Nautical_Novice,193-607,6,102b,"March 29, 2008",7:30 pm,2008,4.47,11 minutes,"""Penny Foolish""","['Casey Alexander', 'Zeus Cervas', 'Derek Iversen']",,"['Casey Alexander', 'Zeus Cervas']",Tom Yasumi,Vincent Waller,"""Spongicus""","""Penny Foolish""",,,,,Paul Tibbitt,,
Spongicus,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Incidentals', 'Incidental 48', 'Incidental 34', 'Incidental 65', 'Incidental 14', 'Incidental 4', 'Incidental 40', 'Incidental 106', 'Incidental 104', 'Incidental 45', 'Incidental 60', 'Incidental 8', 'Incidental 42', 'Incidental 64', 'Fred', 'Incidental 154', 'Incidental 69', 'Incidental 105', 'Incidental 37B', 'Incidental 7', 'Incidental 12', 'Incidental 108', 'Incidental 92', 'Incidental 10', 'Incidental 107', 'Sandals', 'Incidental 102', 'Incidental 31', 'Incidental 18', 'Incidental 27', 'Carol', 'Incidental 46', 'Old Man Walker', 'Incidental 36', 'Incidental F18', 'Incidental 155', 'Incidental 119', 'Incidental 115', 'Incidental 13', 'Incidental 15', 'Incidental 41', 'Incidental 73', 'Incidental 17', 'Incidental 90', 'Dodo', 'Incidental 150', 'Incidental 153', 'Incidental 151', 'Incidental 63', 'Scooter', 'Incidental 81', 'Incidental 6', 'Lenny', 'Popeye fish', 'Incidental 2', 'Charlie', 'Incidental 24', 'Incidental 47', 'Incidental 16', 'Incidental 28', 'Incidental 68', 'Incidental 103', 'Incidental 49', 'Incidental 30', 'Judge 1', 'Karen Plankton', 'Betsy Krabs', 'Lion fish', 'Patrick Star', 'Seahorses', 'Jellyfish', 'Pearl Krabs']",https://spongebob.fandom.com/wiki/Spongicus,193-601,6,103a,"March 29, 2008",7:45 pm,2008,4.47,11 minutes,"""Suction Cup Symphony""","['Casey Alexander', 'Zeus Cervas', 'Richard Pursel']",,"['Casey Alexander', 'Zeus Cervas']",Andrew Overtoom,Vincent Waller,"""Suction Cup Symphony""","""Nautical Novice""",Sirena Irwin as Betsy Krabs,,,,Paul Tibbitt,,
Suction Cup Symphony,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Mario', 'Construction foreman', 'Short construction worker', 'Incidentals', 'Incidental 37A', 'Incidental 27', 'Incidental 40', 'Incidental 85', 'Incidental 41', 'Incidental 49', 'Incidental 6', 'Incidental 151', 'Incidental 108', 'Incidental 63', 'Incidental 65', 'Incidental 22', 'Incidental 18', 'Incidental 8', 'Scooter', 'Incidental 73', 'Incidental 103', 'Anchovy', 'Sandals', 'Incidental 150', 'Incidental 31', 'Incidental 92', 'Incidental 37B', 'Incidental 4', 'Incidental 10', 'Incidental 105', 'Fred', 'Incidental 36', 'Incidental 3', 'Incidental 9', 'Incidental 5', 'Incidental 68', 'Incidental 7', 'Incidental 60', 'Incidental 17', 'Incidental 45', 'Incidental 106', 'Incidental 46', 'Incidental 67', 'Incidental 47', 'Incidental 104', 'Incidental 14', 'Incidental 42', 'Incidental 107', 'Incidental 91', 'Old Man Walker', 'Incidental 12', 'Incidental 2', 'Incidental 20', 'Incidental 13', 'Incidental 102', 'Incidental 93', 'Incidental 48', 'Incidental 155', 'Incidental 64', 'Incidental 16', 'Incidental F18', 'Incidental 95', 'Judge 1', 'Patrick Star', 'Maestro', 'Realistic Fish Head', 'Teen 1', 'Teen 1', 'Teen 3', 'Teen 4', ""Incidental K1's mother"", 'Richard A. Bottomfeeder']",https://spongebob.fandom.com/wiki/Suction_Cup_Symphony,193-605,6,103b,"March 6, 2008",5:00 pm,2008,3.44,"10 minutes, 53 seconds","""Spongicus""","['Luke Brookshier', 'Nate Cash', 'Richard Pursel']",,"['Luke Brookshier', 'Nate Cash']",Andrew Overtoom,Vincent Waller,"""Not Normal""","""Spongicus""",,,,,Paul Tibbitt,,
